in s,C4 in V
-6.392668E-03,3.01064E-01
-6.392576E-03,2.99600E-01
-6.392484E-03,3.02041E-01
-6.392392E-03,3.02529E-01
-6.392300E-03,3.02529E-01
-6.392208E-03,3.06436E-01
-6.392116E-03,3.03506E-01
-6.392024E-03,3.07412E-01
-6.391932E-03,3.06924E-01
-6.391840E-03,3.06924E-01
-6.391748E-03,3.07900E-01
-6.391656E-03,3.12295E-01
-6.391564E-03,3.10830E-01
-6.391472E-03,3.13271E-01
-6.391380E-03,3.13271E-01
-6.391288E-03,3.13760E-01
-6.391196E-03,3.13271E-01
-6.391104E-03,3.13760E-01
-6.391012E-03,3.12783E-01
-6.390920E-03,3.10830E-01
-6.390828E-03,3.10342E-01
-6.390736E-03,3.10830E-01
-6.390644E-03,3.08877E-01
-6.390552E-03,3.05459E-01
-6.390460E-03,3.05459E-01
-6.390368E-03,3.05459E-01
-6.390276E-03,3.05947E-01
-6.390184E-03,3.03506E-01
-6.390092E-03,3.05947E-01
-6.390000E-03,3.04971E-01
-6.389908E-03,3.03994E-01
-6.389816E-03,3.05947E-01
-6.389724E-03,3.03506E-01
-6.389632E-03,3.09365E-01
-6.389540E-03,3.08389E-01
-6.389448E-03,3.08877E-01
-6.389356E-03,3.08389E-01
-6.389264E-03,3.09854E-01
-6.389172E-03,3.12295E-01
-6.389080E-03,3.12783E-01
-6.388988E-03,3.14736E-01
-6.388896E-03,3.15713E-01
-6.388804E-03,3.14248E-01
-6.388712E-03,3.16689E-01
-6.388620E-03,3.15225E-01
-6.388528E-03,3.17178E-01
-6.388436E-03,3.18643E-01
-6.388344E-03,3.17178E-01
-6.388252E-03,3.15713E-01
-6.388160E-03,3.16201E-01
-6.388068E-03,3.14736E-01
-6.387976E-03,3.14248E-01
-6.387884E-03,3.11807E-01
-6.387792E-03,3.11807E-01
-6.387700E-03,3.09365E-01
-6.387608E-03,3.10342E-01
-6.387516E-03,3.09854E-01
-6.387424E-03,3.11318E-01
-6.387332E-03,3.08389E-01
-6.387240E-03,3.10342E-01
-6.387148E-03,3.10342E-01
-6.387056E-03,3.09854E-01
-6.386964E-03,3.12295E-01
-6.386872E-03,3.13760E-01
-6.386780E-03,3.11807E-01
-6.386688E-03,3.14248E-01
-6.386596E-03,3.15713E-01
-6.386504E-03,3.19131E-01
-6.386412E-03,3.18643E-01
-6.386320E-03,3.19131E-01
-6.386228E-03,3.19131E-01
-6.386136E-03,3.22549E-01
-6.386044E-03,3.22549E-01
-6.385952E-03,3.21572E-01
-6.385860E-03,3.21084E-01
-6.385768E-03,3.23525E-01
-6.385676E-03,3.21084E-01
-6.385584E-03,3.21572E-01
-6.385492E-03,3.19619E-01
-6.385400E-03,3.20107E-01
-6.385308E-03,3.18154E-01
-6.385216E-03,3.16201E-01
-6.385124E-03,3.15225E-01
-6.385032E-03,3.16689E-01
-6.384940E-03,3.15713E-01
-6.384848E-03,3.14736E-01
-6.384756E-03,3.16201E-01
-6.384664E-03,3.15225E-01
-6.384572E-03,3.13271E-01
-6.384480E-03,3.15713E-01
-6.384388E-03,3.15713E-01
-6.384296E-03,3.14736E-01
-6.384204E-03,3.17666E-01
-6.384112E-03,3.17178E-01
-6.384020E-03,3.17178E-01
-6.383928E-03,3.21084E-01
-6.383836E-03,3.21084E-01
-6.383744E-03,3.23037E-01
-6.383652E-03,3.22549E-01
-6.383560E-03,3.25479E-01
-6.383468E-03,3.24014E-01
-6.383376E-03,3.25967E-01
-6.383284E-03,3.24502E-01
-6.383192E-03,3.25479E-01
-6.383100E-03,3.24502E-01
-6.383008E-03,3.27432E-01
-6.382916E-03,3.25479E-01
-6.382824E-03,3.24014E-01
-6.382732E-03,3.23037E-01
-6.382640E-03,3.23037E-01
-6.382548E-03,3.22061E-01
-6.382456E-03,3.21084E-01
-6.382364E-03,3.20596E-01
-6.382272E-03,3.18643E-01
-6.382180E-03,3.19619E-01
-6.382088E-03,3.19619E-01
-6.381996E-03,3.19131E-01
-6.381904E-03,3.20107E-01
-6.381812E-03,3.17666E-01
-6.381720E-03,3.19131E-01
-6.381628E-03,3.21084E-01
-6.381536E-03,3.21084E-01
-6.381444E-03,3.22061E-01
-6.381352E-03,3.22549E-01
-6.381260E-03,3.25967E-01
-6.381168E-03,3.24502E-01
-6.381076E-03,3.25967E-01
-6.380984E-03,3.26455E-01
-6.380892E-03,3.27920E-01
-6.380800E-03,3.29873E-01
-6.380708E-03,3.29385E-01
-6.380616E-03,3.31338E-01
-6.380524E-03,3.29385E-01
-6.380432E-03,3.28896E-01
-6.380340E-03,3.30361E-01
-6.380248E-03,3.28896E-01
-6.380156E-03,3.30361E-01
-6.380064E-03,3.29873E-01
-6.379972E-03,3.29385E-01
-6.379880E-03,3.28408E-01
-6.379788E-03,3.27432E-01
-6.379696E-03,3.24502E-01
-6.379604E-03,3.26455E-01
-6.379512E-03,3.24502E-01
-6.379420E-03,3.25479E-01
-6.379328E-03,3.21572E-01
-6.379236E-03,3.22061E-01
-6.379144E-03,3.21572E-01
-6.379052E-03,3.23037E-01
-6.378960E-03,3.22061E-01
-6.378868E-03,3.20596E-01
-6.378776E-03,3.22061E-01
-6.378684E-03,3.21572E-01
-6.378592E-03,3.24014E-01
-6.378500E-03,3.25967E-01
-6.378408E-03,3.27432E-01
-6.378316E-03,3.29385E-01
-6.378224E-03,3.28896E-01
-6.378132E-03,3.29873E-01
-6.378040E-03,3.33291E-01
-6.377948E-03,3.33291E-01
-6.377856E-03,3.35732E-01
-6.377764E-03,3.35244E-01
-6.377672E-03,3.36221E-01
-6.377580E-03,3.36709E-01
-6.377488E-03,3.35732E-01
-6.377396E-03,3.33779E-01
-6.377304E-03,3.32803E-01
-6.377212E-03,3.33779E-01
-6.377120E-03,3.31338E-01
-6.377028E-03,3.30361E-01
-6.376936E-03,3.30850E-01
-6.376844E-03,3.27920E-01
-6.376752E-03,3.26455E-01
-6.376660E-03,3.24014E-01
-6.376568E-03,3.25479E-01
-6.376476E-03,3.24502E-01
-6.376384E-03,3.24014E-01
-6.376292E-03,3.22549E-01
-6.376200E-03,3.25479E-01
-6.376108E-03,3.27432E-01
-6.376016E-03,3.27432E-01
-6.375924E-03,3.29385E-01
-6.375832E-03,3.30361E-01
-6.375740E-03,3.33291E-01
-6.375648E-03,3.34268E-01
-6.375556E-03,3.36709E-01
-6.375464E-03,3.37686E-01
-6.375372E-03,3.38662E-01
-6.375280E-03,3.40615E-01
-6.375188E-03,3.39639E-01
-6.375096E-03,3.41592E-01
-6.375004E-03,3.41104E-01
-6.374912E-03,3.40615E-01
-6.374820E-03,3.39150E-01
-6.374728E-03,3.38662E-01
-6.374636E-03,3.36221E-01
-6.374544E-03,3.34756E-01
-6.374452E-03,3.33779E-01
-6.374360E-03,3.31338E-01
-6.374268E-03,3.29873E-01
-6.374176E-03,3.28408E-01
-6.374084E-03,3.26455E-01
-6.373992E-03,3.26943E-01
-6.373900E-03,3.25479E-01
-6.373808E-03,3.24990E-01
-6.373716E-03,3.25967E-01
-6.373624E-03,3.24990E-01
-6.373532E-03,3.27432E-01
-6.373440E-03,3.28408E-01
-6.373348E-03,3.29873E-01
-6.373256E-03,3.32314E-01
-6.373164E-03,3.35244E-01
-6.373072E-03,3.38662E-01
-6.372980E-03,3.38662E-01
-6.372888E-03,3.41104E-01
-6.372796E-03,3.42568E-01
-6.372704E-03,3.43057E-01
-6.372612E-03,3.45498E-01
-6.372520E-03,3.45986E-01
-6.372428E-03,3.46475E-01
-6.372336E-03,3.47939E-01
-6.372244E-03,3.45498E-01
-6.372152E-03,3.44033E-01
-6.372060E-03,3.41592E-01
-6.371968E-03,3.42568E-01
-6.371876E-03,3.40127E-01
-6.371784E-03,3.38662E-01
-6.371692E-03,3.36709E-01
-6.371600E-03,3.36221E-01
-6.371508E-03,3.33291E-01
-6.371416E-03,3.34268E-01
-6.371324E-03,3.29873E-01
-6.371232E-03,3.30361E-01
-6.371140E-03,3.28896E-01
-6.371048E-03,3.30361E-01
-6.370956E-03,3.26943E-01
